App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,In-App Purchases,Ad Supported,Price_zscore,Price_MinMax,Price_Standard
Smart Craft 2026,FAMILY,3.6,1773.0,90.6M,"100,000+",Free,0.0,Teen,Family;Creativity,2025-06-30,5.20.20,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor Hub,MEDICAL,3.7,1751.0,129.5M,"100,000+",Free,0.0,Everyone 10+,Medical,2026-06-29,4.15.22,Varies with device,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Smart Browser,FAMILY,4.3,1749.0,45.2M,"100,000+",Free,0.0,Everyone,Family,2025-02-19,7.10.61,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Player,TOOLS,4.9,1721.0,145.7M,"100,000+",Free,0.0,Everyone,Tools,2025-03-31,15.5.90,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Ultra Fit AI 2023,LIBRARIES_AND_DEMO,4.7,1704.0,63.1M,"100,000+",Free,0.0,Everyone,Libraries And Demo,2024-04-07,12.17.76,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Pay,FINANCE,4.7,1669.0,36.4M,"100,000+",Free,0.0,Everyone,Finance,2024-09-25,13.15.30,Varies with device,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
My Fit,GAME,4.8,1655.0,411.6M,"100,000+",Free,0.0,Everyone,Game;Board,2025-12-08,10.17.90,Varies with device,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
VPN,GAME,4.2,1640.0,1288.6M,"100,000+",Paid,4.99,Everyone,Game;Puzzle,2025-06-18,9.7.47,9.0 and up,No,No,1.1446164645756711,0.01247531188279707,1.1446164645756711
VPN Now,FAMILY,4.1,1612.0,57.2M,"100,000+",Free,0.0,Mature 17+,Family;Creativity,2025-12-02,1.20.69,8.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Tracker,FAMILY,3.4,1598.0,111.0M,"100,000+",Free,0.0,Everyone,Family,2026-01-30,6.17.36,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Scanner,VIRTUAL_REALITY,4.2,1593.0,268.6M,"100,000+",Free,0.0,Everyone,Virtual Reality,2024-11-01,1.19.94,7.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Crypto Strike,TOOLS,3.7,1590.0,129.1M,"100,000+",Free,0.0,Everyone,Tools,2025-12-17,4.0.85,9.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Planner,GAME,4.6,1579.0,Varies with device,"100,000+",Free,0.0,Everyone,Game;Action,2026-05-25,Varies with device,9.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Quick Drive,PRODUCTIVITY,4.0,1575.0,45.5M,"100,000+",Free,0.0,Mature 17+,Productivity;Creativity,2025-02-22,8.19.32,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
AI Dash,HOUSE_AND_HOME,4.4,1563.0,Varies with device,"100,000+",Free,0.0,Everyone,House And Home;Creativity,2024-02-28,Varies with device,11.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Next Chat,MEDICAL,3.4,1544.0,Varies with device,"100,000+",Free,0.0,Everyone,Medical,2025-09-27,Varies with device,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Planner 3D,GAME,5.0,1536.0,1904.7M,"100,000+",Free,0.0,Teen,Game;Simulation,2026-06-19,7.1.44,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Ultra Craft,NEWS_AND_MAGAZINES,4.0,1530.0,22.6M,"100,000+",Free,0.0,Everyone,News And Magazines,2022-03-28,15.13.39,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Wallet,FAMILY,2.8,1512.0,89.0M,"100,000+",Free,0.0,Everyone,Family,2026-01-14,3.20.37,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Planner Premium,ARTIFICIAL_INTELLIGENCE,4.9,1494.0,Varies with device,"100,000+",Free,0.0,Everyone,Artificial Intelligence,2026-05-05,Varies with device,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Strike,FAMILY,3.6,1477.0,94.4M,"100,000+",Free,0.0,Everyone,Family,2024-10-24,13.13.51,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect Pro,SOCIAL,4.4,1469.0,94.8M,"100,000+",Free,0.0,Everyone,Social,2024-10-08,7.18.97,11.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Quick Maker Max,SOCIAL,3.8,1466.0,114.3M,"100,000+",Free,0.0,Everyone,Social,2026-05-30,8.5.45,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Fit 2024,SOCIAL,5.0,1457.0,67.5M,"100,000+",Free,0.0,Everyone,Social,2026-02-23,3.8.31,Varies with device,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Learn Hub 2026,WEATHER,4.9,1454.0,98.3M,"100,000+",Free,0.0,Everyone,Weather;Creativity,2026-03-15,7.13.94,11.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Chat,PERSONALIZATION,3.4,1447.0,54.8M,"100,000+",Free,0.0,Everyone,Personalization,2026-06-27,14.11.77,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Learn,ARTIFICIAL_INTELLIGENCE,4.3,1447.0,13.7M,"100,000+",Free,0.0,Everyone,Artificial Intelligence,2025-11-06,5.12.37,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Planner,FAMILY,4.6,1436.0,10.9M,"100,000+",Free,0.0,Everyone,Family,2022-07-24,5.4.42,12.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Lite Health,TRAVEL_AND_LOCAL,4.2,1434.0,36.9M,"100,000+",Free,0.0,Everyone 10+,Travel And Local,2025-10-26,8.12.12,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Dash,TOOLS,3.9,1400.0,Varies with device,"100,000+",Free,0.0,Adults only 18+,Tools,2026-01-09,Varies with device,11.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Pay Max,FAMILY,3.3,1394.0,90.6M,"100,000+",Free,0.0,Everyone,Family,2025-10-11,5.1.28,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Dash Now,TOOLS,5.0,1393.0,15.1M,"100,000+",Free,0.0,Everyone,Tools,2025-11-23,15.17.68,8.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Craft 2025,TOOLS,4.5,1392.0,64.6M,"100,000+",Free,0.0,Mature 17+,Tools,2026-06-14,4.3.18,Varies with device,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Maker,PRODUCTIVITY,3.4,1372.0,130.4M,"100,000+",Free,0.0,Everyone,Productivity,2025-11-21,11.16.38,11.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Fit,TOOLS,4.0,1355.0,54.2M,"100,000+",Free,0.0,Everyone,Tools;Creativity,2025-09-19,12.8.3,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Browser,TOOLS,3.9,1335.0,82.5M,"100,000+",Free,0.0,Everyone,Tools,2024-08-16,9.8.11,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Browser,GAME,4.3,1333.0,1252.4M,"100,000+",Free,0.0,Teen,Game;Board,2024-07-09,13.18.64,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect,FINANCE,5.0,1321.0,138.7M,"100,000+",Free,0.0,Everyone,Finance,2025-12-14,7.10.41,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Browser,VIRTUAL_REALITY,4.4,1320.0,Varies with device,"100,000+",Free,0.0,Teen,Virtual Reality,2024-05-11,Varies with device,6.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Craft,PARENTING,4.1,1310.0,49.7M,"100,000+",Free,0.0,Teen,Parenting,2025-10-02,15.20.70,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Ultra Drive Now,ARTIFICIAL_INTELLIGENCE,3.6,1305.0,128.6M,"100,000+",Free,0.0,Everyone,Artificial Intelligence,2025-09-11,9.19.59,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Planner Space,FAMILY,3.9,1276.0,20.5M,"100,000+",Free,0.0,Everyone,Family;Creativity,2026-02-06,4.16.34,11.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Planner,FINANCE,3.7,1234.0,142.0M,"100,000+",Free,0.0,Mature 17+,Finance;Creativity,2026-06-09,4.2.80,11.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Wallet Online,SOCIAL,3.3,1204.0,Varies with device,"100,000+",Free,0.0,Everyone,Social,2025-12-15,Varies with device,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Daily VPN,FAMILY,4.3,1190.0,34.5M,"100,000+",Free,0.0,Teen,Family,2026-05-14,2.13.43,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Quick Drive,FINANCE,5.0,1188.0,122.5M,"100,000+",Free,0.0,Mature 17+,Finance,2026-03-27,13.16.14,9.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Chat Hub,FAMILY,4.8,1183.0,8.0M,"100,000+",Free,0.0,Mature 17+,Family,2026-06-13,10.3.52,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Super Browser,FINANCE,3.4,1173.0,124.5M,"100,000+",Free,0.0,Everyone,Finance,2026-06-04,8.16.29,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Super Tracker,SOCIAL,4.7,1115.0,109.5M,"100,000+",Paid,4.99,Everyone,Social,2026-06-28,6.2.94,6.0 and up,No,No,1.1446164645756711,0.01247531188279707,1.1446164645756711
Health,ENTERTAINMENT,4.1,1085.0,13.4M,"100,000+",Free,0.0,Teen,Entertainment,2025-11-29,8.8.4,9.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Maker,FAMILY,4.3,1068.0,33.4M,"100,000+",Free,0.0,Everyone,Family,2025-04-19,3.10.20,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
My Chat,HEALTH_AND_FITNESS,4.0,1067.0,144.9M,"100,000+",Free,0.0,Teen,Health And Fitness,2026-06-14,11.1.87,5.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor,GAME,3.1,1066.0,788.6M,"100,000+",Free,0.0,Everyone 10+,Game;Card,2026-04-22,7.5.75,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Planner,VIDEO_PLAYERS,4.4,1060.0,Varies with device,"100,000+",Free,0.0,Teen,Video Players,2024-09-25,Varies with device,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Planner 2023,TOOLS,4.3,1012.0,141.3M,"100,000+",Paid,1.99,Everyone,Tools,2025-11-25,12.9.56,12.0 and up,No,No,0.42512184325093005,0.004975124378109453,0.42512184325093005
Planner Online,TOOLS,4.5,985.0,93.5M,"100,000+",Free,0.0,Everyone,Tools,2025-10-13,10.5.47,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Epic Strike,EVENTS,3.6,975.0,137.9M,"100,000+",Free,0.0,Everyone,Events,2026-04-07,4.12.24,7.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Meta Planner,ARTIFICIAL_INTELLIGENCE,3.8,958.0,139.0M,"100,000+",Free,0.0,Everyone,Artificial Intelligence;Creativity,2025-10-26,9.5.71,Varies with device,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Scanner,SPORTS,3.6,955.0,79.1M,"100,000+",Free,0.0,Teen,Sports,2026-06-12,12.7.66,Varies with device,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Fit Online,ARTIFICIAL_INTELLIGENCE,4.1,895.0,37.1M,"100,000+",Free,0.0,Everyone,Artificial Intelligence;Creativity,2025-09-01,2.0.9,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Tracker,ARTIFICIAL_INTELLIGENCE,4.3,886.0,51.0M,"100,000+",Free,0.0,Teen,Artificial Intelligence,2025-09-03,13.12.87,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Tracker,FAMILY,4.8,884.0,93.4M,"100,000+",Free,0.0,Everyone,Family,2024-01-05,2.19.69,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Hyper Tracker,PHOTOGRAPHY,3.1,874.0,249.1M,"100,000+",Free,0.0,Everyone,Photography,2026-06-03,12.16.9,6.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Tracker,HOUSE_AND_HOME,4.7,764.0,43.7M,"100,000+",Free,0.0,Everyone,House And Home,2026-01-01,8.5.31,11.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Browser Max,FOOD_AND_DRINK,4.4,754.0,43.3M,"100,000+",Free,0.0,Everyone,Food And Drink,2024-12-16,6.14.74,6.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
AI Craft,FAMILY,4.3,739.0,Varies with device,"100,000+",Free,0.0,Teen,Family,2025-01-18,Varies with device,9.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Ultra Tracker Now 2023,TOOLS,3.9,707.0,85.1M,"100,000+",Free,0.0,Everyone,Tools;Creativity,2026-06-16,14.16.42,9.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Scanner,SOCIAL,3.4,690.0,105.1M,"100,000+",Free,0.0,Everyone,Social,2025-08-14,9.4.28,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
My Scanner,GAME,4.2,684.0,1900.6M,"100,000+",Free,0.0,Teen,Game;Casual,2026-05-25,13.3.16,7.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
VPN,FINANCE,4.3,677.0,Varies with device,"100,000+",Free,0.0,Everyone,Finance,2026-01-19,Varies with device,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect,FAMILY,4.4,659.0,98.5M,"100,000+",Free,0.0,Everyone,Family;Creativity,2025-01-07,5.12.41,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Tracker Pro,FAMILY,4.9,658.0,76.4M,"100,000+",Free,0.0,Everyone 10+,Family,2026-04-08,1.7.80,11.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
VPN,FAMILY,3.8,652.0,77.5M,"100,000+",Free,0.0,Everyone,Family,2026-03-03,10.7.63,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Craft Now,HOUSE_AND_HOME,4.5,648.0,48.8M,"100,000+",Free,0.0,Everyone,House And Home,2026-04-23,14.2.82,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Hyper Fit Go 2025,PRODUCTIVITY,3.6,622.0,27.7M,"100,000+",Free,0.0,Everyone 10+,Productivity,2024-12-28,8.11.14,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Epic Wallet 2024,FINANCE,4.6,602.0,22.7M,"100,000+",Free,0.0,Everyone,Finance;Creativity,2025-05-23,7.9.41,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor 2023,GAME,3.9,581.0,Varies with device,"100,000+",Free,0.0,Everyone,Game;Puzzle,2023-02-03,Varies with device,7.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Easy Craft,FAMILY,5.0,576.0,106.2M,"100,000+",Free,0.0,Everyone 10+,Family,2026-05-22,5.5.60,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Dash,FAMILY,4.7,568.0,31.8M,"100,000+",Free,0.0,Everyone,Family,2026-06-14,13.5.44,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect,FAMILY,4.4,562.0,118.9M,"100,000+",Free,0.0,Adults only 18+,Family;Creativity,2026-01-30,10.5.72,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Wallet Go 2026,GAME,2.8,553.0,Varies with device,"100,000+",Free,0.0,Everyone,Game;Board,2025-04-30,Varies with device,4.4 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Craft 2024,AUTO_AND_VEHICLES,4.5,551.0,28.7M,"100,000+",Free,0.0,Teen,Auto And Vehicles,2024-09-19,14.14.11,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Strike App,SOCIAL,4.0,538.0,69.5M,"100,000+",Free,0.0,Mature 17+,Social,2023-09-04,12.7.56,7.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Chat 3D,MAPS_AND_NAVIGATION,3.8,2490.0,131.5M,"50,000+",Free,0.0,Everyone,Maps And Navigation;Creativity,2026-04-19,9.0.80,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Smart Player 3D,TOOLS,5.0,2485.0,67.4M,"50,000+",Free,0.0,Everyone,Tools,2025-12-20,3.20.95,12.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Health 3D 2026,TOOLS,4.1,2483.0,Varies with device,"50,000+",Free,0.0,Teen,Tools,2026-05-12,Varies with device,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Quick Scanner,SOCIAL,4.0,2458.0,129.1M,"50,000+",Free,0.0,Everyone,Social,2025-11-04,7.16.8,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Craft,FAMILY,4.3,2457.0,23.8M,"50,000+",Free,0.0,Everyone,Family,2025-12-30,9.1.18,6.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Epic Chat 2025,FAMILY,3.0,2456.0,88.5M,"50,000+",Free,0.0,Everyone,Family,2025-08-08,13.10.71,Varies with device,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Strike App 2025,VIRTUAL_REALITY,4.4,2454.0,293.1M,"50,000+",Free,0.0,Everyone,Virtual Reality,2026-03-02,7.9.74,Varies with device,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor Go,SHOPPING,5.0,2451.0,119.8M,"50,000+",Free,0.0,Everyone,Shopping,2026-06-04,4.8.91,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Quick Wallet,BUSINESS,3.7,2445.0,124.4M,"50,000+",Free,0.0,Everyone,Business;Creativity,2024-08-02,15.10.9,11.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Pay,VIDEO_PLAYERS,4.9,2442.0,141.2M,"50,000+",Paid,2.99,Everyone,Video Players,2024-05-31,6.3.9,9.0 and up,No,No,0.6649533836925104,0.0074751868796719915,0.6649533836925104
Player,TRAVEL_AND_LOCAL,3.7,2442.0,29.8M,"50,000+",Free,0.0,Everyone,Travel And Local;Creativity,2026-06-05,15.6.13,11.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Super Pay,VIDEO_PLAYERS,3.3,2441.0,219.3M,"50,000+",Free,0.0,Everyone,Video Players,2023-11-12,5.4.11,Varies with device,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Meta Maker,GAME,5.0,2437.0,1952.2M,"50,000+",Paid,2.99,Everyone,Game;Card,2025-09-08,9.9.22,10.0 and up,No,No,0.6649533836925104,0.0074751868796719915,0.6649533836925104
Craft,GAME,5.0,2437.0,Varies with device,"50,000+",Free,0.0,Everyone 10+,Game;Casual,2026-04-11,Varies with device,7.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Maker,MAPS_AND_NAVIGATION,4.2,2436.0,54.2M,"50,000+",Free,0.0,Everyone 10+,Maps And Navigation,2026-05-31,10.18.94,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Strike App,SOCIAL,4.9,2434.0,56.3M,"50,000+",Free,0.0,Everyone,Social,2025-10-20,13.16.1,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Health Max,PRODUCTIVITY,3.8,2433.0,32.5M,"50,000+",Free,0.0,Everyone,Productivity,2025-04-02,11.13.31,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Meta Strike,FAMILY,4.2,2428.0,41.5M,"50,000+",Free,0.0,Teen,Family,2025-09-27,4.10.67,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Super Health Space,BUSINESS,4.5,2427.0,23.0M,"50,000+",Free,0.0,Everyone,Business,2026-06-26,4.8.67,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Dash Now,GAME,4.5,2423.0,1378.0M,"50,000+",Free,0.0,Mature 17+,Game;Shooter,2025-05-25,5.4.85,8.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Strike Online,PRODUCTIVITY,4.4,2421.0,Varies with device,"50,000+",Free,0.0,Teen,Productivity,2026-04-28,Varies with device,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Fit,PRODUCTIVITY,3.9,2421.0,103.5M,"50,000+",Free,0.0,Everyone,Productivity;Creativity,2023-11-07,3.17.4,5.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Player,ARTIFICIAL_INTELLIGENCE,3.6,2414.0,144.7M,"50,000+",Free,0.0,Teen,Artificial Intelligence,2026-04-18,15.8.68,12.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Editor AI 2023,WEATHER,3.7,2413.0,107.9M,"50,000+",Free,0.0,Everyone 10+,Weather,2025-11-07,8.10.78,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Quick Tracker Go,FAMILY,4.0,2406.0,63.8M,"50,000+",Free,0.0,Everyone,Family,2025-08-10,3.10.20,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Neo Player,PRODUCTIVITY,4.4,2404.0,30.7M,"50,000+",Free,0.0,Everyone,Productivity;Creativity,2025-12-15,1.19.10,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Browser 3D,MAPS_AND_NAVIGATION,4.3,2403.0,35.9M,"50,000+",Free,0.0,Mature 17+,Maps And Navigation,2025-11-23,5.4.36,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Wallet Hub,HOUSE_AND_HOME,3.7,2402.0,112.8M,"50,000+",Free,0.0,Everyone,House And Home,2026-04-12,14.15.49,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Health 2024,WEB3_AND_CRYPTO,3.7,2402.0,103.5M,"50,000+",Free,0.0,Mature 17+,Web3 And Crypto,2026-06-05,11.16.5,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Strike,GAME,5.0,2391.0,1610.4M,"50,000+",Free,0.0,Everyone,Game;Shooter,2024-07-22,4.17.9,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
VPN,WEB3_AND_CRYPTO,4.2,2376.0,143.1M,"50,000+",Free,0.0,Adults only 18+,Web3 And Crypto,2026-03-16,11.20.52,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Pay 3D,GAME,3.8,2375.0,988.4M,"50,000+",Free,0.0,Teen,Game;Puzzle,2025-09-13,11.2.7,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Daily Health,TRAVEL_AND_LOCAL,4.8,2373.0,139.3M,"50,000+",Free,0.0,Everyone,Travel And Local;Creativity,2026-05-12,7.14.65,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Browser,VIRTUAL_REALITY,3.8,2371.0,50.5M,"50,000+",Free,0.0,Everyone,Virtual Reality,2026-06-08,9.9.89,9.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Craft,SPORTS,3.7,2370.0,54.5M,"50,000+",Free,0.0,Everyone,Sports,2023-11-02,14.13.59,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Learn App,WEATHER,4.1,2366.0,109.9M,"50,000+",Free,0.0,Everyone,Weather,2025-03-03,4.1.40,8.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Editor,LIBRARIES_AND_DEMO,3.7,2356.0,109.4M,"50,000+",Free,0.0,Everyone,Libraries And Demo,2025-10-25,14.15.1,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Meta Learn 2026,PRODUCTIVITY,3.5,2356.0,54.8M,"50,000+",Free,0.0,Everyone,Productivity,2026-03-04,5.10.22,9.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Strike,DATING,3.7,2354.0,51.8M,"50,000+",Free,0.0,Mature 17+,Dating,2026-06-25,5.18.46,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Dash,FOOD_AND_DRINK,3.6,2350.0,84.8M,"50,000+",Free,0.0,Teen,Food And Drink,2025-01-24,11.13.92,9.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Browser Go,GAME,3.3,2349.0,731.5M,"50,000+",Free,0.0,Everyone,Game;Puzzle,2025-06-02,11.13.77,12.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Quick Chat,VIDEO_PLAYERS,4.1,2344.0,138.7M,"50,000+",Free,0.0,Everyone,Video Players,2025-10-10,14.5.46,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Scanner Pro,TRAVEL_AND_LOCAL,4.6,2342.0,67.5M,"50,000+",Free,0.0,Teen,Travel And Local;Creativity,2025-11-22,5.3.100,8.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Neo Learn Online,PERSONALIZATION,4.0,2337.0,35.8M,"50,000+",Free,0.0,Mature 17+,Personalization,2024-11-19,11.4.86,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Player Premium,GAME,4.8,2335.0,81.4M,"50,000+",Paid,0.99,Everyone 10+,Game;Strategy,2025-04-24,5.7.77,4.4 and up,No,No,0.18529030280934974,0.0024750618765469134,0.18529030280934974
Meta Planner 3D,PERSONALIZATION,2.9,2335.0,119.1M,"50,000+",Free,0.0,Everyone,Personalization,2026-02-25,5.10.42,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Learn,GAME,3.7,2331.0,1943.4M,"50,000+",Free,0.0,Everyone,Game;Puzzle,2024-02-02,5.0.25,9.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Drive,VIRTUAL_REALITY,4.6,2327.0,272.3M,"50,000+",Free,0.0,Everyone,Virtual Reality,2024-11-28,8.20.63,6.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Connect,AUTO_AND_VEHICLES,2.7,2314.0,76.4M,"50,000+",Free,0.0,Everyone,Auto And Vehicles,2026-02-04,3.15.63,Varies with device,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
